,stock_price_at_STO_offer,STO_strike,STO_days_long,STO_offer_ARR,stock_price_at_open,STO_ask_fee%,STO_offer_strike_delta%,STO_open_strike_delta%,Closed_xtn_Profit$,Closed_xtn_Profit%,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel,ER - Expiry,label
2785,78.95,77.0,28,0.38388898941463895,79.15,0.029449018366054465,-0.02469917669411023,-0.027163613392293184,2315.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2786,78.95,77.5,28,0.32692481679182106,79.15,0.025079164027865735,-0.018366054464851206,-0.020846493998736646,1970.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2787,79.15,77.5,28,0.34586228679722,79.39,0.02653190145293746,-0.020846493998736646,-0.02380652475122812,2090.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2788,78.95,78.0,28,0.272437347326518,79.15,0.02089930335655478,-0.012032932235592183,-0.014529374605180109,1640.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2789,79.15,78.0,28,0.28821857233101694,79.39,0.02210991787744788,-0.014529374605180109,-0.017508502330268304,1740.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2790,78.95,78.5,28,0.21547317470370003,79.15,0.016529449018366053,-0.005699810006333158,-0.008212255211623571,1295.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2791,79.15,78.5,28,0.23139833950004504,79.39,0.01775110549589387,-0.008212255211623571,-0.011210479909308485,1395.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2792,79.39,78.5,28,0.243013693700178,79.59,0.018642146366041064,-0.011210479909308485,-0.01369518783766809,1470.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2793,78.95,79.0,28,0.170066950149281,79.15,0.01304623179227359,0.0006333122229258665,-0.0018951358180670332,1020.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2794,79.15,79.0,28,0.18363640465661898,79.39,0.014087176247631079,-0.0018951358180670332,-0.004912457488348666,1105.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2795,79.39,79.0,28,0.19129118456804603,79.59,0.014674392240836378,-0.004912457488348666,-0.00741299158185706,1155.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2796,78.95,79.5,28,0.13209083506740302,79.15,0.01013299556681444,0.006966434452184891,0.004421983575489505,790.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2797,79.15,79.5,28,0.14246232289504598,79.59,0.01092861655085281,0.004421983575489505,-0.0011307953260460285,855.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2798,79.39,79.5,28,0.146957605311932,79.59,0.011273460133518076,0.001385564932611153,-0.0011307953260460285,884.9999999999999,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2799,78.95,80.0,28,0.100719261738894,79.15,0.00772640911969601,0.013299556681443916,0.010739102969046042,600.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2800,79.15,80.0,28,0.107876094215324,79.59,0.008275426405559064,0.010739102969046042,0.005151400929765002,645.0000000000001,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2801,79.39,80.0,28,0.11165494034873,79.59,0.008565310492505354,0.0076835873535709715,0.005151400929765002,670.0000000000001,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2802,78.95,80.5,28,0.075952230163757,79.15,0.005826472450918303,0.01963267891070294,0.01705622236260258,450.00000000000006,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2803,79.15,80.5,28,0.079877718617453,79.59,0.006127605811749841,0.01705622236260258,0.011433597185576034,474.99999999999994,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2804,79.39,80.5,28,0.08045723642776201,79.59,0.006172061972540622,0.01398160977453079,0.011433597185576034,480.00000000000006,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2805,78.95,81.0,28,0.056964172622817,79.59,0.004369854338188726,0.025965801139961966,0.017715793441387066,335.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2806,79.15,81.0,28,0.05764371446620299,79.59,0.004421983575489576,0.023373341756159117,0.017715793441387066,340.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2807,79.39,81.0,28,0.05746945459125799,79.59,0.004408615694671872,0.02027963219549061,0.017715793441387066,340.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2808,79.39,82.0,28,0.028734727295628995,79.59,0.002204307847335936,0.03287567703741025,0.030280185953009128,165.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-27,1
2809,78.95,77.0,35,0.323622545915136,79.39,0.03103229892336922,-0.02469917669411023,-0.03010454717218794,2440.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-34,1
2810,78.95,77.5,35,0.278711661992219,79.15,0.02672577580747308,-0.018366054464851206,-0.020846493998736646,2100.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-34,1
2811,79.15,77.5,35,0.29052432090966496,79.39,0.027858496525584333,-0.020846493998736646,-0.02380652475122812,2195.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-34,1
2812,79.39,77.5,35,0.30278192647508695,79.59,0.029033883360624766,-0.02380652475122812,-0.026259580349290153,2295.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-34,1
2813,78.95,78.0,35,0.232479869718628,79.15,0.022292590246991765,-0.012032932235592183,-0.014529374605180109,1750.0000000000002,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-34,1
2814,79.15,78.0,35,0.244409349336702,79.39,0.023436512950094756,-0.014529374605180109,-0.017508502330268304,1845.0,1.0,81.16644475555549,81.07166700000002,80.58800053333334,80.59100049999988,79.5,92.58000200000001,80.370003,80.269997,79.870003,80.120003,80.860001,-0.026312245718050083,-0.06894992213570635,-0.013857074999999748,-0.07763604242424214,0.1919998000000021,0.4599990000000105,-34,1
