,stock_price_at_STO_offer,STO_strike,STO_days_long,STO_offer_ARR,stock_price_at_open,STO_ask_fee%,STO_offer_strike_delta%,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,RSI,MFI,MACD,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel,ER - Expiry,RandomForest_d7,RandomForest_d15,RandomForest_d19,KNNeighbors_2,AdaBoost,GaussianNB,SVC linear
2528,78.77,79.0,15.0,0.2208751216622233,78.93,0.009077059794337946,0.002919893360416453,79.01577788888885,78.2373333666667,76.7353332,76.75400009999989,76.099998,92.58000200000001,77.18,76.57,76.33000200000001,76.099998,76.449997,60.38040322961891,57.74397477879684,-0.6611998066098688,-0.11848881462450588,-0.16486764827586198,0.04299996428571444,0.1452119212121217,0.6210000000000009,1.5999989999999968,36.0,,,,,,,
5872,76.64,76.5,7.0,0.5987175663584849,76.69,0.011482254697286013,-0.0018267223382046002,84.06888919999989,84.26500016666662,81.1293334666667,77.67799979999987,75.779999,89.07,76.459999,76.300003,76.41999799999999,75.779999,76.07,18.684300547571638,17.944140636418865,-1.533215002824701,-0.10484455362318845,-0.4368876451612904,-1.1225715178571432,-0.6654545575757581,0.0900000999999989,-0.25,64.0,,,,,,,
2652,79.91,79.5,15.0,0.28014850039627914,80.06,0.011512952071079966,-0.00513077211863342,78.89177771111106,78.08266650000003,77.59399980000002,78.13299949999987,76.099998,92.58000200000001,79.5,79.25,78.82,79.029999,78.779999,79.36817028049124,71.4144106180492,-0.20641127835713685,-0.09210936930171272,-0.05806009010011113,0.27549984642857156,0.4472119818181817,0.21599960000000068,0.2699970000000036,29.0,,,,,,,
2375,76.19,76.5,31.0,0.16844560923667065,76.22,0.014306339414621344,0.004068775429846467,79.59355566666662,78.94266683333336,77.54933359999998,76.76600029999989,76.260002,92.58000200000001,76.720001,76.33000200000001,76.610001,76.739998,76.379997,25.33012004475715,28.194829956632063,-0.6990580166840028,-0.11092488774703557,-0.17542601223581752,-0.2628213785714283,-0.1136969272727276,-0.04299940000000078,-0.25,29.0,,,,,,,
2080,80.08,79.5,30.0,0.15800865800865802,80.2,0.012987012987012988,-0.007242757242757221,81.02688904444439,80.5730000666667,80.29333346666668,80.24299999999988,79.5,92.58000200000001,80.160004,80.209999,80.489998,80.599998,80.16999799999999,40.78659020072888,48.85726825380635,-0.22757380861491075,-0.05026351554677208,-0.03480979354838707,-0.027500082142857197,-0.02151530909090954,-0.16099920000000056,-0.20000500000000443,50.0,,,,,,,
2890,80.77,79.0,17.0,0.5449387876978202,80.97,0.025380710659898477,-0.021914077008790344,78.78755539999995,78.18266646666669,79.60933273333336,80.10799929999988,76.099998,92.58000200000001,79.91999799999999,79.889999,80.550003,80.220001,80.089996,84.05030540882056,69.27103938450742,0.39815647866848186,-0.011570507114624509,0.15209784338153498,0.17517866071428526,0.090545836363636,0.0889998999999989,1.0600050000000039,15.0,,,,,,,
3015,82.17,83.0,29.0,0.12943099461587207,82.21,0.01028355847632956,0.01010101010101008,78.83599982222216,78.38433296666669,80.03333273333335,80.41299949999987,76.099998,92.58000200000001,80.889999,80.980003,79.91999799999999,79.889999,80.550003,77.52330005260787,67.27774769194471,0.49306702904274624,0.009820796706192384,0.18867406740823134,0.1463572464285716,0.12539424848484915,0.4050003000000018,0.5400010000000037,1.0,,,,,,,
5735,74.07,75.0,35.0,0.3097456074369805,74.88,0.029701633589847447,0.012555690562981057,84.78533377777765,85.66900003333329,85.0913340666667,83.57700039999986,76.07,89.07,76.940002,78.349998,79.720001,84.529999,89.07,21.849638729823326,25.098104504004922,-0.2007987191870726,0.042429496969696924,-0.1326117270300334,-0.8660715357142859,-1.595697042424243,-1.9699997000000011,-0.8700020000000137,43.0,,,,,,,
5460,88.65,89.5,22.0,0.19370096908167972,88.83,0.011675126903553297,0.009588268471517138,85.0228892444443,86.18133366666662,87.64133406666673,87.91200109999986,76.099998,89.0,86.779999,88.010002,89.0,88.370003,88.529999,56.94765667945966,48.65928200801223,1.0034439260718382,0.16455073491436106,0.19910568943270304,0.08096439285714263,-0.018302963636363783,-0.4360000999999983,0.5200040000000001,-20.0,,,,,,,
5095,88.21,86.5,23.0,0.4398717487418858,88.65,0.02771794581113253,-0.019385557193061943,84.06177795555543,85.16500043333328,87.05599980000005,87.34000019999988,76.099998,88.300003,88.25,87.150002,87.43,88.0,86.970001,69.62770212076623,59.0922008412081,1.036083104729152,0.17108037615283278,0.2194326444938821,0.14635736428571447,0.1867882303030299,0.1420006000000001,0.050003000000003794,-13.0,,,,,,,
850,80.5,81.0,30.0,0.15567287784679087,80.64,0.012795031055900621,0.006211180124223602,81.83755613333322,81.77966719999996,81.45400033333337,81.13000029999989,79.5,95.120003,80.120003,79.5,80.699997,80.5,81.099998,40.17590840522944,33.77395074736884,-0.06339338086522174,-0.023467730434782598,-0.04235152969966626,-0.16371435357142905,-0.25406078181818287,0.08400039999999934,1.0899959999999993,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6429,74.04,73.0,21.0,0.489455506675928,74.18,0.028160453808752022,-0.01404646137223131,81.99533319999988,79.46499989999997,76.18533273333337,76.29299929999983,74.260002,89.07,76.18,76.269997,75.550003,75.199997,75.739998,41.47286604405832,46.24020740706943,-1.6815581630225398,-0.36230962252964427,-0.48183987519466065,-0.060964257142856824,-0.2611513393939389,-0.12499929999999893,-1.9199980000000068,30.0,,,,,,,
7099,72.48,75.0,25.0,0.16618377483443708,73.18,0.011382450331125827,0.03476821192052974,77.371110911111,75.08666616666665,74.14399933333337,73.98099989999982,72.809998,89.07,72.809998,73.699997,74.0,72.889999,73.5,50.20372386360898,52.943111073302894,-1.1639870206140408,-0.28100134795783926,-0.1179755250278088,-0.08471423214285716,-0.11606093939393988,0.2250001999999981,1.8000030000000038,4.0,,,,,,,
477,82.07,80.5,25.0,0.4047154867795784,82.2,0.02772023882051907,-0.019130010966248244,82.01333382222212,81.97066726666662,82.25066686666672,82.3290008999999,80.489998,95.120003,81.75,81.989998,82.550003,82.800003,82.550003,55.203964490449984,54.975354477510955,0.2080039973761838,0.002527020816864332,0.012293668520578423,-0.0023569785714282125,-0.07327273333333273,-0.2540008999999998,0.18000000000000682,45.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
