,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
23,81.94,1.04,Mid,2017-05-05 15:30:00,81,2017-05-12 16:00:00,7,0.661808291781443,-0.622099794274555,-0.939999999999998,ClosedCalled,10,C,,,,,,82.01,1.04,10,1030,2017-05-05 16:00:00,0.661243402372533,-0.667855836396262,-1.01000000000001,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-510.000000000001
24,81.82,0.795,Mid,2017-05-01 11:30:00,81.5,2017-05-12 16:00:00,11,0.322409502011066,-0.103171040643539,-0.319999999999993,ClosedCalled,10,C,,,,,,82.1,0.795,10,785,2017-05-01 15:30:00,0.321309932454878,-0.192785959472925,-0.599999999999994,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-255.000000000001
25,81.81,0.77,Mid,2017-05-01 13:30:00,81.5,2017-05-12 16:00:00,11,0.312309008678646,-0.096815792690381,-0.310000000000002,ClosedCalled,10,C,,,,,,82.1,0.77,10,760,2017-05-01 15:30:00,0.311205846528624,-0.186723507917172,-0.599999999999994,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-280.000000000001
26,82.1,0.94,Mid,2017-05-01 15:30:00,81.5,2017-05-12 16:00:00,11,0.379913630827151,-0.227948178496288,-0.599999999999994,ClosedCalled,10,C,,,,,,82.14,0.94,10,930,2017-05-01 16:00:00,0.379728622971866,-0.243026318701995,-0.640000000000001,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-110.000000000001
27,81.92,0.795,Mid,2017-05-02 15:30:00,81.5,2017-05-12 16:00:00,10,0.354217529296875,-0.148771362304688,-0.420000000000002,ClosedCalled,10,C,,,,,,82.04,0.795,10,785,2017-05-02 16:00:00,0.353699414919551,-0.19099768405656,-0.540000000000006,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-255.000000000001
28,82.58,1.26,Mid,2017-05-03 11:30:00,81.5,2017-05-12 16:00:00,9,0.618793896827319,-0.668297408573503,-1.08,ClosedCalled,10,C,,,,,,82.87,1.26,10,1250,2017-05-03 15:30:00,0.616628454205382,-0.844780982261376,-1.37,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,209.999999999999
29,82.57,1.255,Mid,2017-05-03 13:30:00,81.5,2017-05-12 16:00:00,9,0.616413009836772,-0.659561920525341,-1.06999999999999,ClosedCalled,10,C,,,,,,82.87,1.255,10,1245,2017-05-03 15:30:00,0.614181515895043,-0.841428676776212,-1.37,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,204.999999999999
30,81.53,0.57,Mid,2017-05-04 13:30:00,81.5,2017-05-12 16:00:00,8,0.318977676928738,-0.009569330307863,-0.030000000000001,ClosedCalled,10,C,,,,,,81.72,0.57,10,560,2017-05-04 15:30:00,0.318236049926579,-0.070011930983847,-0.219999999999999,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-480.000000000001
31,81.82,0.61,Mid,2017-05-05 13:30:00,81.5,2017-05-12 16:00:00,7,0.388745329468869,-0.124398505430035,-0.319999999999993,ClosedCalled,10,C,,,,,,81.94,0.61,10,600,2017-05-05 15:30:00,0.388176017294885,-0.170797447609748,-0.439999999999998,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-440.000000000001
32,81.87,0.65,Mid,2017-05-05 11:30:00,81.5,2017-05-12 16:00:00,7,0.413983841979445,-0.153174021532396,-0.370000000000005,ClosedCalled,10,C,,,,,,82.01,0.65,10,640,2017-05-05 16:00:00,0.413277126482833,-0.210771334506247,-0.510000000000005,82.53,,,,2017-05-12 16:00:00,,,-1.03,10,-1040,-400.000000000001
