Unnamed: 0,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
4989,4989,80.99,2.35,Mid,2017-09-27 13:30:00,79.0,2017-10-20 16:00:00,23.0,0.4604701600304922,-0.9163356184606772,-1.9899999999999949,ClosedCalled,10.0,C,,,,,,81.35,2.35,10.0,2339.9999999999995,2017-09-27 15:30:00,0.4584324309879479,-1.0773162128216751,-2.3499999999999943,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-1760.0000000000039
4990,4990,79.97,1.31,Mid,2017-09-18 11:30:00,79.5,2017-10-20 16:00:00,32.0,0.18684741152932352,-0.08781828341878184,-0.4699999999999989,ClosedCalled,10.0,C,,,,,,80.08,1.31,10.0,1300.0,2017-09-18 15:30:00,0.186590752997003,-0.10822263673826142,-0.5799999999999983,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-2300.000000000004
4991,4991,79.95,1.29,Mid,2017-09-18 13:30:00,79.5,2017-10-20 16:00:00,32.0,0.18404080675422135,-0.08281836303940014,-0.4500000000000029,ClosedCalled,10.0,C,,,,,,80.08,1.29,10.0,1280.0,2017-09-18 15:30:00,0.1837420392107892,-0.10657038274225744,-0.5799999999999983,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-2320.000000000004
4992,4992,80.11,1.41,Mid,2017-09-19 13:30:00,79.5,2017-10-20 16:00:00,31.0,0.20723521287262275,-0.12641347985229975,-0.6099999999999994,ClosedCalled,10.0,C,,,,,,80.19,1.41,10.0,1400.0,2017-09-19 15:30:00,0.2070284686772142,-0.14284964338727732,-0.6899999999999977,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-2200.000000000004
4993,4993,80.46,1.6,Mid,2017-09-20 13:30:00,79.5,2017-10-20 16:00:00,30.0,0.2419421658795261,-0.2322644792443435,-0.9599999999999936,ClosedCalled,10.0,C,,,,,,80.51,1.6,10.0,1590.0,2017-09-20 16:00:00,0.2417919099076719,-0.2442098290067499,-1.0100000000000051,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-2010.0000000000039
4994,4994,80.46,1.6,Mid,2017-09-20 15:30:00,79.5,2017-10-20 16:00:00,30.0,0.2419421658795261,-0.2322644792443435,-0.9599999999999936,ClosedCalled,10.0,C,,,,,,80.51,1.6,10.0,1590.0,2017-09-20 16:00:00,0.2417919099076719,-0.2442098290067499,-1.0100000000000051,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-2010.0000000000039
4995,4995,79.77,1.085,Mid,2017-09-22 13:30:00,79.5,2017-10-20 16:00:00,28.0,0.17730663156575152,-0.047872790522752215,-0.269999999999996,ClosedCalled,10.0,C,,,,,,79.84,1.085,10.0,1075.0,2017-09-22 15:30:00,0.17715117735470942,-0.06023140030060181,-0.3400000000000034,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-2525.000000000004
4996,4996,80.6,1.635,Mid,2017-09-25 11:30:00,79.5,2017-10-20 16:00:00,25.0,0.296166253101737,-0.325782878411909,-1.0999999999999943,ClosedCalled,10.0,C,,,,,,80.86,1.635,10.0,1625.0,2017-09-25 13:30:00,0.2952139500371012,-0.4014909720504574,-1.3599999999999994,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1975.0000000000039
4997,4997,80.86,1.85,Mid,2017-09-25 13:30:00,79.5,2017-10-20 16:00:00,25.0,0.3340341330695029,-0.4542864209745237,-1.3599999999999994,ClosedCalled,10.0,C,,,,,,80.92,1.85,10.0,1840.0,2017-09-25 15:30:00,0.3337864557587741,-0.4739767671774598,-1.4200000000000017,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1760.0000000000034
4998,4998,80.77,1.79,Mid,2017-09-26 11:30:00,79.5,2017-10-20 16:00:00,24.0,0.3370424249927779,-0.4280438797408265,-1.2699999999999958,ClosedCalled,10.0,C,,,,,,80.97,1.79,10.0,1780.0,2017-09-26 15:30:00,0.33620991313655263,-0.4942285723107321,-1.4699999999999989,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1820.0000000000039
4999,4999,80.8,1.8,Mid,2017-09-26 13:30:00,79.5,2017-10-20 16:00:00,24.0,0.3387995049504951,-0.4404393564356427,-1.2999999999999972,ClosedCalled,10.0,C,,,,,,80.97,1.8,10.0,1790.0,2017-09-26 15:30:00,0.3380881808077066,-0.4969896257873283,-1.4699999999999989,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1810.0000000000039
5000,5000,80.84,1.815,Mid,2017-09-27 11:30:00,79.5,2017-10-20 16:00:00,23.0,0.3562996149129789,-0.4774414839833929,-1.3400000000000034,ClosedCalled,10.0,C,,,,,,80.99,1.815,10.0,1805.0,2017-09-27 13:30:00,0.3556397193426993,-0.5299031818206202,-1.4899999999999949,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1795.0000000000034
5001,5001,80.99,1.925,Mid,2017-09-27 13:30:00,79.5,2017-10-20 16:00:00,23.0,0.3771936417271053,-0.562018526173385,-1.4899999999999949,ClosedCalled,10.0,C,,,,,,81.35,1.925,10.0,1915.0,2017-09-27 15:30:00,0.37552443814970204,-0.6947202105769466,-1.8499999999999943,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1685.0000000000039
5002,5002,81.38,2.17,Mid,2017-10-02 11:30:00,79.5,2017-10-20 16:00:00,18.0,0.5407075175445782,-1.0165301329838046,-1.8799999999999957,ClosedCalled,10.0,C,,,,,,81.71,2.17,10.0,2160.0,2017-10-02 13:30:00,0.5385237764995444,-1.1901375460639898,-2.2099999999999937,83.09,,,,2017-10-20 16:00:00,,,-3.5900000000000034,10.0,-3600.000000000004,-1440.0000000000034
5003,5003,79.68,0.965,Mid,2017-09-15 11:30:00,80.0,2017-10-20 16:00:00,35.0,0.12629984222604704,0.04041594951233419,0.3199999999999932,ClosedCalled,10.0,C,,,,,,79.82,0.965,10.0,955.0,2017-09-15 13:30:00,0.12607831907506173,0.022694097433511973,0.18000000000000682,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2145.000000000004
5004,5004,79.82,0.995,Mid,2017-09-15 13:30:00,80.0,2017-10-20 16:00:00,35.0,0.1299978523105559,0.023399613415900952,0.18000000000000682,ClosedCalled,10.0,C,,,,,,79.95,0.995,10.0,985.0,2017-09-15 15:30:00,0.12978647368891272,0.006489323684445267,0.049999999999997165,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2115.000000000004
5005,5005,79.95,1.05,Mid,2017-09-15 15:30:00,80.0,2017-10-20 16:00:00,35.0,0.13696060037523453,0.006848030018761337,0.049999999999997165,ClosedCalled,10.0,C,,,,,,80.04,1.05,10.0,1040.0,2017-09-15 16:00:00,0.13680659670164916,-0.005472263868066821,-0.04000000000000625,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2060.000000000004
5006,5006,79.97,1.005,Mid,2017-09-18 11:30:00,80.0,2017-10-20 16:00:00,32.0,0.14334476991371764,0.004300343097411692,0.030000000000001137,ClosedCalled,10.0,C,,,,,,80.08,1.005,10.0,995.0,2017-09-18 15:30:00,0.14314786775724275,-0.011451829420579176,-0.0799999999999983,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2105.000000000004
5007,5007,79.95,0.995,Mid,2017-09-18 13:30:00,80.0,2017-10-20 16:00:00,32.0,0.14195395559724827,0.007097697779862009,0.049999999999997165,ClosedCalled,10.0,C,,,,,,80.08,0.995,10.0,985.0,2017-09-18 15:30:00,0.14172351086413587,-0.011337880869130628,-0.0799999999999983,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-2115.000000000004
