,stock_price_at_STO_offer,STO_strike,STO_days_long,STO_offer_ARR,stock_price_at_open,STO_ask_fee%,STO_offer_strike_delta%,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,RSI,MFI,MACD,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel,ER - Expiry,label
2129,77.83,77.5,24.0,0.2315543492226648,77.95,0.015225491455736864,-0.004240010278812776,80.82133346666662,80.2913334666667,79.88799993333333,79.72099979999989,78.209999,92.58000200000001,78.209999,78.970001,80.209999,79.959999,80.160004,37.032794889112985,41.378317833270465,-0.26167775678720995,-0.0713306967061924,-0.06100555728587323,-0.1241070571428576,-0.2544844727272728,-0.5459992,0.020004000000000133,50.0,0
5248,88.77,88.5,28.0,0.23348863032877906,88.97,0.01791145657316661,-0.0030415680973301345,84.41955586666653,85.53866706666662,87.40066686666673,87.74500049999986,76.099998,88.529999,88.529999,88.300003,88.25,87.150002,87.43,61.182948393764676,50.8041276585834,1.0656321538648776,0.17327667852437428,0.22720797463848721,0.1355001785714286,0.16454577575757542,0.27200009999999963,-0.1599960000000067,-20.0,1
5839,75.59,74.0,22.0,0.5695648775090499,75.95,0.03432993782246329,-0.02103452837676946,84.22044475555543,84.61466676666663,81.94000040000005,78.96399989999986,75.779999,89.07,76.300003,76.41999799999999,75.779999,76.07,76.940002,21.545540105438107,17.347385198451008,-1.342779140241219,-0.07801845889328066,-0.3970455699666296,-1.163035842857143,-1.1889696666666667,0.13000020000000065,0.15999599999999248,50.0,0
1959,80.42,79.0,16.0,0.4453571872668491,80.58,0.019522506839094754,-0.01765729917930865,81.0380001555555,80.78166683333335,80.51000013333335,80.29800039999988,79.5,92.58000200000001,80.040001,79.599998,80.83000200000001,80.370003,80.269997,42.11591452653506,42.431395285015974,-0.25181478898246246,-0.029736489591567848,-0.05049832591768633,-0.08024997499999985,-0.06957589090909076,-0.11900110000000126,0.12999699999998882,71.0,1
5264,88.77,91.5,28.0,0.07709530246704968,88.97,0.005914160189253127,0.030753632984116302,84.41955586666653,85.53866706666662,87.40066686666673,87.74500049999986,76.099998,88.529999,88.529999,88.300003,88.25,87.150002,87.43,61.182948393764676,50.8041276585834,1.0656321538648776,0.17327667852437428,0.22720797463848721,0.1355001785714286,0.16454577575757542,0.27200009999999963,-0.1599960000000067,-20.0,1
5881,76.52,77.0,14.0,0.3151603689044881,76.64,0.012088342916884477,0.006272869837950915,84.06888919999989,84.26500016666662,81.1293334666667,77.67799979999987,75.779999,89.07,76.459999,76.300003,76.41999799999999,75.779999,76.07,18.684300547571638,17.944140636418865,-1.533215002824701,-0.10484455362318845,-0.4368876451612904,-1.1225715178571432,-0.6654545575757581,0.0900000999999989,-0.25,57.0,1
2613,79.65,79.0,16.0,0.3164822661644695,79.73,0.013873195229127432,-0.008160703075957385,78.91022217777774,78.0959998666667,77.39199986666668,77.80099949999986,76.099998,92.58000200000001,79.25,78.82,79.029999,78.779999,77.18,76.33584661310616,66.07281780591447,-0.30746997767783235,-0.09972200303030299,-0.0831635070077863,0.2346785428571429,0.4298789515151515,0.1660002999999989,0.25,29.0,0
4604,86.93,85.5,24.0,0.3778902565282412,87.0,0.024847578511445992,-0.016450017255262933,83.11422237777766,83.53533353333327,84.4720000666667,85.19499969999987,76.099998,88.5,86.75,86.82,86.699997,85.029999,83.639999,82.36218265191712,73.78349673727078,0.6691507774640346,0.07081686745718047,0.14613125739710797,0.3277498107142854,0.4360603090909093,0.4270003000000003,0.3899990000000031,1.0,1
1009,82.85,81.0,25.0,0.436149668074834,82.93,0.029873264936632473,-0.022329511164755515,81.76400062222211,81.75533376666662,81.27866720000003,80.8340003999999,79.5,95.120003,80.620003,80.910004,81.209999,80.120003,79.5,51.259426232652416,33.2562790680138,-0.12925559450047827,-0.023885378919631113,-0.058651812013348174,-0.10957144642857196,0.0367273333333332,0.3429992000000013,1.509994000000006,24.0,1
1126,82.03,81.0,29.0,0.2915249677367826,82.25,0.023162257710593683,-0.01255638181153238,81.74311168888879,81.82866696666663,81.3560002666667,81.31500019999987,79.5,95.120003,82.959999,82.93,82.129997,80.620003,80.910004,48.73858849983914,37.637792580636734,-0.02533438454422776,-0.005223992358366311,-0.03940376040044502,0.06867853571428546,0.32163635151515163,0.3729995999999986,-0.8899990000000031,15.0,0
2344,76.22,75.0,17.0,0.4859192430580209,76.4,0.022631855156127003,-0.0160062975596956,79.59355566666662,78.94266683333336,77.54933359999998,76.76600029999989,76.260002,92.58000200000001,76.720001,76.33000200000001,76.610001,76.739998,76.379997,25.33012004475715,28.194829956632063,-0.6990580166840028,-0.11092488774703557,-0.17542601223581752,-0.2628213785714283,-0.1136969272727276,-0.04299940000000078,-0.25,43.0,0
6377,73.72,74.5,22.0,0.2700636314309673,74.27,0.016277807921866522,0.010580575149213255,82.20377757777766,79.93299993333329,76.32133280000004,76.35599899999984,74.889999,89.07,76.269997,75.550003,75.199997,75.739998,77.5,49.46138913630356,48.377095378421004,-1.71142110692991,-0.3436363722002636,-0.5029433579532813,-0.00882156428571404,-0.04909089696969653,0.19500040000000213,-0.08999699999999677,30.0,0
7071,72.55,72.5,18.0,0.4318286239375144,73.18,0.021295658166781528,-0.0006891798759475832,77.371110911111,75.08666616666665,74.14399933333337,73.98099989999982,72.809998,89.07,72.809998,73.699997,74.0,72.889999,73.5,50.20372386360898,52.943111073302894,-1.1639870206140408,-0.28100134795783926,-0.1179755250278088,-0.08471423214285716,-0.11606093939393988,0.2250001999999981,1.8000030000000038,11.0,0
3302,82.9,83.0,21.0,0.18345396059509447,83.03,0.010554885404101327,0.0012062726176115116,79.78088864444437,81.25166643333333,82.2593332666667,82.47099989999987,76.099998,92.58000200000001,82.760002,82.959999,82.809998,82.410004,82.43,63.10344774447288,71.0803095782632,0.7759027112489918,0.1748208263504611,0.13354174482758627,0.09057139285714269,0.1120606121212119,0.060999200000000545,-0.020004000000000133,-13.0,1
2328,76.35,75.5,32.0,0.2651747707924034,76.45,0.023248199083169614,-0.011132940406024812,79.70777788888884,79.0890001666667,77.7953338,76.94200049999988,76.260002,92.58000200000001,76.33000200000001,76.610001,76.739998,76.379997,76.639999,25.5707314540511,27.95799258524694,-0.6764571034915392,-0.10730433965744395,-0.1707430422691879,-0.297250064285714,-0.17381833333333319,0.027001199999999417,0.3899989999999889,31.0,0
