iter	Passed	Remaining
763	10234	3161
764	10251	3149
765	10264	3135
766	10276	3121
767	10288	3107
768	10300	3094
769	10311	3079
770	10321	3065
771	10332	3051
772	10343	3037
773	10353	3023
774	10364	3009
775	10375	2994
776	10386	2980
777	10397	2966
778	10408	2952
779	10422	2939
780	10438	2926
781	10449	2913
782	10460	2899
783	10471	2885
784	10482	2871
785	10493	2856
786	10504	2842
787	10515	2828
788	10526	2815
789	10537	2800
790	10547	2786
791	10558	2772
792	10569	2758
793	10580	2745
794	10596	2732
795	10610	2719
796	10622	2705
797	10633	2691
798	10644	2677
799	10655	2663
800	10666	2650
801	10677	2636
802	10688	2622
803	10699	2608
804	10709	2594
805	10720	2580
806	10731	2566
807	10742	2552
808	10753	2538
809	10763	2524
810	10777	2511
811	10790	2498
812	10804	2485
813	10814	2471
814	10826	2457
815	10837	2443
816	10848	2429
817	10859	2416
818	10870	2402
819	10880	2388
820	10891	2374
821	10902	2360
822	10913	2347
823	10923	2333
824	10934	2319
825	10948	2306
826	10961	2293
827	10972	2279
828	10983	2265
829	10993	2251
830	11004	2238
831	11015	2224
832	11026	2210
833	11037	2196
834	11047	2183
835	11058	2169
836	11069	2155
837	11079	2141
838	11090	2128
839	11101	2114
840	11112	2100
841	11129	2088
842	11141	2074
843	11152	2061
844	11163	2047
845	11175	2034
846	11186	2020
847	11197	2007
848	11207	1993
849	11219	1979
850	11229	1966
851	11240	1952
852	11251	1939
853	11262	1925
854	11272	1911
855	11283	1898
856	11294	1884
857	11306	1871
858	11320	1858
859	11331	1844
860	11342	1831
861	11353	1817
862	11364	1804
863	11375	1790
864	11386	1777
865	11397	1763
866	11408	1750
867	11418	1736
868	11429	1723
869	11440	1709
870	11451	1696
871	11462	1682
872	11473	1669
873	11486	1656
874	11499	1642
875	11510	1629
876	11521	1615
877	11532	1602
878	11543	1589
879	11553	1575
880	11564	1562
881	11575	1548
882	11586	1535
883	11597	1521
884	11608	1508
885	11619	1495
886	11630	1481
887	11641	1468
888	11654	1455
889	11669	1442
890	11682	1429
891	11694	1415
892	11705	1402
893	11716	1389
894	11727	1375
895	11738	1362
896	11749	1349
897	11759	1335
898	11770	1322
899	11781	1309
900	11792	1295
901	11803	1282
902	11814	1269
903	11824	1255
904	11837	1242
905	11852	1229
906	11864	1216
907	11874	1203
908	11885	1189
909	11896	1176
910	11907	1163
911	11918	1150
912	11928	1136
913	11939	1123
914	11950	1110
915	11961	1096
916	11972	1083
917	11982	1070
918	11993	1057
919	12004	1043
920	12017	1030
921	12031	1017
922	12042	1004
923	12054	991
924	12065	978
925	12076	965
926	12087	951
927	12097	938
928	12108	925
929	12119	912
930	12130	899
931	12141	885
932	12152	872
933	12164	859
934	12174	846
935	12186	833
936	12200	820
937	12213	807
938	12224	794
939	12235	780
940	12246	767
941	12257	754
942	12268	741
943	12279	728
944	12289	715
945	12300	702
946	12311	689
947	12322	675
948	12332	662
949	12343	649
950	12353	636
951	12364	623
952	12377	610
953	12392	597
954	12404	584
955	12414	571
956	12426	558
957	12437	545
958	12447	532
959	12458	519
960	12469	506
961	12479	492
962	12490	479
963	12501	466
964	12512	453
965	12523	440
966	12533	427
967	12544	414
968	12560	401
969	12575	388
970	12586	375
971	12597	362
972	12609	349
973	12620	336
974	12631	323
975	12641	310
976	12652	297
977	12663	284
978	12674	271
979	12685	258
980	12695	245
981	12706	232
982	12717	219
983	12730	207
984	12744	194
985	12756	181
986	12767	168
987	12778	155
988	12789	142
989	12800	129
990	12810	116
991	12821	103
992	12832	90
993	12843	77
994	12853	64
995	12864	51
996	12876	38
997	12887	25
998	12898	12
999	12909	0
